Response id,Response,Age,Sex,G. Family and Work Problems,No of drinks,Education
87167,Yes,26,Male,I. None of the above,20,"C. 9th, 10th, or 11th grade"
87168,Yes,30,Male,"H. Financial, Family, and Work Problems",48,E. High School graduate- high school diploma or the equivalent (GED)
87169,Yes,39,Male,I. None of the above,3,G. 1 or more years of College
87170,Yes,30,Male,I. None of the above,2,"H. Associates degree (for example: AA, AS)"
87171,Yes,40,Male,C. Work Problems,1,G. 1 or more years of College
87176,Yes,40,Female,I. None of the above,1,G. 1 or more years of College
87181,No,25,Female,G. Family and Work Problems,0,"H. Associates degree (for example: AA, AS)"
87182,Yes,46,Female,A. Financial Problems,12,"F. Some College Credit, but less than one year"
87183,Yes,49,Female,B. Family Problems,7,"F. Some College Credit, but less than one year"
87184,Yes,30,Female,I. None of the above,5,G. 1 or more years of College
87185,Yes,52,Male,E. Financial and Family Problems,5,E. High School graduate- high school diploma or the equivalent (GED)
87187,Yes,40,Male,A. Financial Problems,20,"C. 9th, 10th, or 11th grade"
87188,Yes,18,Female,I. None of the above,1,G. 1 or more years of College
87189,Yes,60,Male,E. Financial and Family Problems,2,A. No schooling completed
87191,Yes,35,Female,"F. Financial, Health and Family Problems",7,E. High School graduate- high school diploma or the equivalent (GED)
87199,Yes,21,Female,I. None of the above,3,"F. Some College Credit, but less than one year"
87200,Yes,26,Male,B. Family Problems,5,"F. Some College Credit, but less than one year"
87201,Yes,19,Male,I. None of the above,1,E. High School graduate- high school diploma or the equivalent (GED)
87202,Yes,45,Female,C. Work Problems,2,"H. Associates degree (for example: AA, AS)"
87204,Yes,28,Female,C. Work Problems,2,"H. Associates degree (for example: AA, AS)"
87217,Yes,29,Male,C. Work Problems,2,E. High School graduate- high school diploma or the equivalent (GED)
87218,Yes,32,Male,"H. Financial, Family, and Work Problems",10,"H. Associates degree (for example: AA, AS)"
87219,Yes,60,Male,"H. Financial, Family, and Work Problems",2,E. High School graduate- high school diploma or the equivalent (GED)
87220,No,59,Female,"H. Financial, Family, and Work Problems",0,"H. Associates degree (for example: AA, AS)"
87222,Yes,40,Male,"H. Financial, Family, and Work Problems",7,E. High School graduate- high school diploma or the equivalent (GED)
87225,Yes,35,Female,I. None of the above,10,E. High School graduate- high school diploma or the equivalent (GED)
87226,Yes,33,Male,A. Financial Problems,8,"H. Associates degree (for example: AA, AS)"
87227,No,54,Female,I. None of the above,4,"I. Bachelor's degree (for example: BA, AB, BS)"
87229,Yes,40,Female,D. Health Problems,6,"D. 12th Grade, no diploma"
87230,Yes,42,Female,"H. Financial, Family, and Work Problems",4,"H. Associates degree (for example: AA, AS)"
87231,Yes,60,Male,E. Financial and Family Problems,10,"H. Associates degree (for example: AA, AS)"
87232,Yes,52,Male,"H. Financial, Family, and Work Problems",14,E. High School graduate- high school diploma or the equivalent (GED)
87233,No,50,Female,D. Health Problems,0,"F. Some College Credit, but less than one year"
87243,Yes,31,Male,A. Financial Problems,7,E. High School graduate- high school diploma or the equivalent (GED)
87245,Yes,28,Male,B. Family Problems,9,A. No schooling completed
