Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
,,,,,,,,,,,,,,,,,,,
1,Aatrox,Jungle,49.18%,0.48%,0.19%,6.3,6.53,6.17,6.15,8,15621,33525,16566,53.8,8.55,71.29,11706,31,4
,,,,,,,,,,,,,,,,,,,
2,Aatrox,Top,48.02%,1.05%,0.19%,5.3,5.94,6.3,5.04,8,17673,29329,10152,168.2,3.79,5.4,11580,47,5
,,,,,,,,,,,,,,,,,,,
3,Ahri,Middle,52.24%,5.93%,0.31%,7.55,6.42,5.6,7.52,10,20087,18836,3784,165.5,1.11,5.12,11451,16,4
,,,,,,,,,,,,,,,,,,,
4,Akali,Middle,49.73%,1.50%,0.34%,7.93,9.12,6.99,5.35,11,18797,26207,9920,134.9,2.44,4.62,11497,38,1
,,,,,,,,,,,,,,,,,,,
5,Akali,Top,50.33%,2.08%,0.34%,8.23,7.62,6.36,4.87,9,18430,26280,10183,154.6,2.48,3.61,11472,39,1
,,,,,,,,,,,,,,,,,,,
6,Alistar,Support,52.51%,6.88%,0.45%,4.62,2.27,5.44,13.55,5,8416,24086,9154,39,0.1,0.12,8900,14,3
,,,,,,,,,,,,,,,,,,,
7,Amumu,Jungle,50.94%,1.89%,0.04%,3.46,4.64,5.45,10.13,8,13397,29199,6802,41.4,5.88,69.85,10812,32,3
,,,,,,,,,,,,,,,,,,,
8,Anivia,Middle,53.00%,2.30%,0.15%,8.01,5.87,4.62,7.42,7,19275,24361,9474,176.6,2.55,11.07,11766,9,2
,,,,,,,,,,,,,,,,,,,
9,Annie,Middle,51.81%,2.10%,0.16%,4.75,6.94,6.5,7.06,10,20404,17767,1834,148.6,1.05,4.18,11237,30,2
,,,,,,,,,,,,,,,,,,,
10,Annie,Support,47.02%,0.94%,0.16%,5.94,4.92,7.52,9.94,8,16787,17013,1319,37,0.49,1.13,10346,31,1
,,,,,,,,,,,,,,,,,,,
11,Ashe,ADC,49.60%,6.76%,0.05%,5.22,6.35,6.51,8.61,11,18737,17614,2874,180.5,1.98,7.61,12388,17,1
,,,,,,,,,,,,,,,,,,,
12,Aurelion Sol,Jungle,52.19%,0.18%,0.07%,15.64,7.02,6.39,9.54,6,20457,24219,3696,156.9,1.81,12.42,11794,33,10
,,,,,,,,,,,,,,,,,,,
13,Aurelion Sol,Middle,49.77%,0.84%,0.07%,5.67,6.03,6.52,8.79,7,19516,23736,3178,162.6,1.29,5.67,11329,33,10
,,,,,,,,,,,,,,,,,,,
