Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
1,Aatrox,Jungle,49.61%,0.45%,0.18%,6.30,6.53,5.87,6.10,7,16078,34088,17247,54.4,9.11,74.36,11880,28,3
2,Aatrox,Top,48.04%,0.97%,0.18%,5.30,5.72,6.16,5.02,7,18090,29967,10543,173.8,3.71,5.46,11723,47,0
3,Ahri,Middle,52.14%,5.41%,0.26%,7.55,6.34,5.34,7.39,9,20617,18991,3978,171.7,1.13,5.35,11628,16,1
4,Akali,Middle,50.41%,1.50%,0.33%,7.93,8.96,6.76,5.21,9,19027,26410,10184,138.4,2.53,4.69,11567,41,2
5,Akali,Top,50.10%,2.21%,0.33%,8.23,7.44,6.21,4.87,9,18849,27002,10641,159.9,2.61,3.77,11604,34,7
6,Alistar,Support,52.50%,7.34%,0.52%,4.62,2.19,5.20,13.10,6,8525,24095,9401,40.4,0.10,0.12,8933,14,0
7,Amumu,Jungle,51.72%,1.92%,0.04%,3.46,4.55,5.25,10.00,10,13717,29560,7066,41.8,6.15,72.11,10904,31,2
8,Anivia,Middle,53.22%,2.36%,0.13%,8.01,5.80,4.42,7.30,7,19809,24483,9554,183.7,2.70,11.47,11975,11,2
9,Annie,Middle,51.57%,1.92%,0.14%,4.75,6.71,6.20,6.90,10,20519,17672,1903,153.0,1.05,4.34,11274,35,4
10,Annie,Support,47.42%,0.81%,0.14%,5.94,4.60,7.34,9.61,8,16537,16976,1316,37.3,0.47,1.06,10262,32,1
11,Ashe,ADC,50.05%,6.93%,0.05%,5.22,5.90,6.28,8.61,9,18981,17363,2768,185.2,1.95,7.65,12384,16,1
12,Aurelion Sol,Jungle,51.81%,0.19%,0.07%,15.64,6.88,5.83,9.10,7,20709,23659,3794,161.6,1.75,12.45,11802,35,3
13,Aurelion Sol,Middle,50.68%,0.98%,0.07%,5.67,6.09,6.05,8.50,9,20056,23627,3400,168.8,1.31,5.98,11509,31,2
14,Azir,Middle,50.37%,7.14%,0.88%,4.04,6.24,5.78,6.27,11,21845,18860,2226,184.0,2.14,10.87,11931,18,2
15,Bard,Support,49.80%,5.76%,0.10%,6.21,3.54,6.26,13.22,7,13822,19287,6259,26.6,0.34,0.36,10178,10,10
16,Blitzcrank,Support,53.15%,11.08%,2.48%,5.80,2.69,5.45,12.72,6,9987,22276,3622,40.0,0.25,0.23,9402,3,1
17,Brand,Middle,47.73%,1.23%,0.24%,7.23,6.06,6.42,7.38,8,22945,20630,2480,148.7,1.20,6.24,11185,43,2
18,Brand,Support,48.20%,2.57%,0.24%,5.98,4.86,7.43,9.74,9,21169,19083,1600,40.9,0.74,1.95,10761,25,0
19,Braum,Support,51.86%,5.10%,0.28%,5.21,1.50,4.87,14.31,4,7295,21938,4522,42.6,0.09,0.10,9012,23,1
20,Caitlyn,ADC,47.41%,8.33%,0.36%,8.80,5.99,6.22,6.90,10,19921,17931,3265,195.3,1.90,7.64,12514,18,0
21,Camille,Top,51.27%,4.49%,0.24%,5.38,6.47,5.97,5.55,9,18044,25032,2900,163.2,2.14,3.27,11447,27,18
22,Cassiopeia,Middle,46.98%,1.41%,0.07%,5.29,5.72,6.03,6.30,9,18937,21841,6250,170.9,1.93,9.05,11391,44,1
